user_id,month,actual_future_silence,risk_score,prediction
U-0CB3D7,2024-05,0,0.408666,0
U-0CB3D7,2024-06,0,0.366734,0
U-0CB3D7,2024-07,1,0.612128,1
U-B348B6,2025-04,0,0.484875,0
U-B348B6,2025-05,1,0.438529,0
U-B2DEA1,2024-12,1,0.666302,1
U-C3AEB9,2025-04,0,0.701325,1
U-C3AEB9,2025-05,0,0.702256,1
U-C3AEB9,2025-07,1,0.334933,0
U-C58B39,2024-01,0,0.405406,0
U-C58B39,2024-03,0,0.301849,0
U-C58B39,2024-04,1,0.60592,1
U-72A618,2025-05,1,0.719132,1
U-1525C4,2025-12,1,0.788167,1
U-EB7028,2024-07,1,0.686224,1
U-583D0B,2024-02,1,0.751299,1
U-626721,2024-01,1,0.613412,1
U-4AB0CB,2024-02,0,0.329579,0
U-4AB0CB,2024-03,1,0.698767,1
U-4AB0CB,2024-12,1,0.624213,1
U-4EAD62,2025-06,1,0.719132,1
U-2448DA,2024-01,1,0.539694,1
U-446CF0,2024-11,0,0.588266,1
U-446CF0,2024-12,1,0.587489,1
U-29009D,2024-07,0,0.528435,1
U-29009D,2024-10,1,0.643533,1
U-29009D,2025-04,1,0.642045,1
U-29009D,2025-08,1,0.602175,1
U-6AA2E0,2024-11,1,0.681917,1
U-0E4184,2024-05,1,0.633344,1
U-6721D9,2024-02,1,0.714995,1
U-EE0C86,2024-02,1,0.788167,1
U-EE0C86,2025-12,1,0.77986,1
U-A523B6,2024-09,0,0.714995,1
U-A523B6,2024-12,1,0.528276,1
U-A523B6,2025-04,0,0.457151,0
U-A523B6,2025-05,0,0.373912,0
U-A523B6,2025-06,0,0.461998,0
U-A523B6,2025-07,0,0.249373,0
U-A523B6,2025-08,1,0.352237,0
U-A523B6,2025-12,0,0.523125,1
U-1DDCDD,2025-01,0,0.64279,1
U-1DDCDD,2025-02,1,0.531684,1
U-ACFB8D,2024-03,1,0.488705,0
U-6E4C86,2024-05,1,0.600008,1
U-E77B0E,2025-05,1,0.42282,0
U-3F4E46,2025-10,1,0.719132,1
U-8FFDFF,2024-05,1,0.58903,1
U-CF409D,2025-10,1,0.772572,1
U-092321,2024-10,0,0.548773,1
U-092321,2024-11,1,0.611183,1
U-092321,2025-03,1,0.368703,0
U-59B450,2024-04,1,0.788167,1
U-3C716A,2024-05,0,0.719132,1
U-3C716A,2024-06,1,0.675718,1
U-639774,2024-05,1,0.604331,1
U-EB9871,2025-07,1,0.702011,1
U-A0677A,2024-06,1,0.751299,1
U-A34EDE,2024-08,1,0.666302,1
U-04D642,2024-07,0,0.645018,1
U-04D642,2024-08,0,0.459727,0
U-04D642,2024-09,0,0.072542,0
U-04D642,2024-10,0,0.207469,0
U-04D642,2024-11,1,0.295968,0
U-04D642,2025-07,0,0.488917,0
U-04D642,2025-10,1,0.389199,0
U-E4D85A,2024-10,1,0.719132,1
U-6F2EEC,2025-06,0,0.719132,1
U-6F2EEC,2025-07,0,0.750291,1
U-6F2EEC,2025-10,0,0.491935,0
U-6F2EEC,2025-11,1,0.630983,1
U-4474BF,2025-02,1,0.800318,1
U-416A01,2024-07,1,0.719132,1
U-7D09D4,2024-09,1,0.772572,1
U-1BF43E,2024-07,1,0.686224,1
U-637E66,2025-07,1,0.510404,1
U-87BC80,2024-08,1,0.575607,1
U-87BC80,2025-07,1,0.700636,1
U-8544F1,2024-08,1,0.772572,1
U-423EF1,2025-05,1,0.719132,1
U-03D74F,2025-09,1,0.719132,1
U-716E16,2025-05,1,0.719132,1
U-DD27E8,2024-11,0,0.751299,1
U-DD27E8,2024-12,1,0.685153,1
U-6B199E,2025-08,1,0.719132,1
U-7AC556,2024-12,1,0.639723,1
U-B5BD78,2025-02,1,0.751033,1
U-E0A352,2025-04,1,0.719132,1
U-BE0930,2025-07,1,0.751299,1
U-106EF7,2024-10,1,0.714995,1
U-F7C791,2025-03,0,0.719132,1
U-F7C791,2025-04,1,0.750291,1
U-46B343,2024-10,1,0.772572,1
U-E8FC64,2024-10,0,0.542709,1
U-E8FC64,2024-11,1,0.250701,0
U-2D0AA2,2024-12,1,0.772572,1
U-2D0AA2,2025-05,0,0.724569,1
U-2D0AA2,2025-06,1,0.665338,1
U-ED8BAE,2025-03,0,0.547708,1
U-ED8BAE,2025-04,0,0.316537,0
U-ED8BAE,2025-05,0,0.190937,0
U-ED8BAE,2025-06,1,0.618884,1
U-688EEA,2025-06,0,0.645018,1
U-688EEA,2025-07,1,0.657889,1
U-550C69,2025-07,1,0.719132,1
U-F8006A,2024-12,1,0.732146,1
U-FE74A3,2025-07,1,0.719132,1
U-5B5E88,2024-11,0,0.476766,0
U-5B5E88,2024-12,0,0.296105,0
U-5B5E88,2025-01,0,0.253243,0
U-5B5E88,2025-02,0,0.183147,0
U-5B5E88,2025-03,0,0.322361,0
U-5B5E88,2025-04,0,0.279754,0
U-5B5E88,2025-05,0,0.249133,0
U-5B5E88,2025-06,0,0.180906,0
U-5B5E88,2025-07,0,0.243515,0
U-5B5E88,2025-08,0,0.179899,0
U-5B5E88,2025-09,0,0.202661,0
U-5B5E88,2025-10,0,0.299533,0
U-5B5E88,2025-11,0,0.332792,0
U-5B5E88,2025-12,0,0.184967,0
U-E3BC43,2025-09,0,0.751299,1
U-E3BC43,2025-12,0,0.389077,0
U-E2C78B,2024-11,1,0.666302,1
